,German,English
0,Ich heiße …. Kathleen. Mein Name ist …. Ich bin ….,My name is.... Kathleen. My name is.... I am....
1,Ich bin 36 (sechsunddreißig) Jahre alt.,I am 36 (thirty-six) years old.
2,Ich komme aus Deutschland ,I am from Germany
3, Syrien ,Syria
4, die Niederland ,the Netherlands
6, Frankreich ,France
8, Indien ,India
10, Ägypten,Egypt
11,Ich lebe in Albanien und wohne in Durres. Portugal ,I live in Albania and I live in Durres. Portugal
12,Ich habe zwei Hunde und zwei Katzen. Das ist meine Familie hier. Eine ,I have two dogs and two cats. That's my family here.
13, keine Ich habe keine Katzen. Ich habe keine Haustiere. ,No I don't have cats. I don't have pets.
14,"In Deutschland leben meine Mutter, mein Vater, meine Geschwister (siblings) ","My mother, father, siblings live in Germany."
15, meine Schwester ,my sister
16, mein Bruder mit ihrem Mann ,my brother with her husband
17, mit seiner Frau und meine Nichte ,with his wife and my niece
18, mein Neffe.,My nephew.
19,"Ich spreche Deutsch als Muttersprache, Englisch, Rumänisch, Italienisch und ein bisschen Albanisch als Fremdsprache. Ich lerne … Französisch","I speak German as a mother tongue, English, Romanian, Italian and a bit of Albanian as a foreign language. I am learning... French"
20,Ich arbeite als Deutschlehrerin. Ich bin Deutschlehrerin von Beruf. Mein Beruf ist Deutschlehrerin ,I work as a German teacher. I am a German teacher by profession. My profession is a German teacher.
21, Chemielehrer ,Chemistry teachers
22, Software-Entwickler ,Software developers
23," Bibliothekar und Schriftsteller, Krankenschwester. Ich bin Zivilist, aber ich arbeite für die Armee.","Librarian and writer, nurse. I am a civilian, but I work for the army."
24,Ich studiere Geschichte in der Uni. Ich studiere Medizin auf Italienisch.,I am studying history at university. I am studying medicine in Italian.
25,"Meine Hobbys sind meine Tiere, Kanu fahren, wandern, Moped fahren, reisen und meine Freunde treffen. ","My hobbies are my animals, canoeing, hiking, riding a moped, travelling and meeting my friends."
26, lesen ,read more
27, Fußball spielen,Playing football
29, Ukulele spielen ,Playing the ukulele
30, Sport machen ,Exercise
31, am Strand spazieren gehen ,Go for a walk on the beach
32, ins Fitnessstudio gehen,Going to the gym
33,"Ich liebe Sonne, warmes Wetter und Natur ","I love sun, warm weather and nature"
34, die deutsche Kultur ,the German culture
35, die europäische Architektur. Ich liebe es zu schreiben. Das ist meine Leidenschaft. - passion,European architecture. I love to write. That's my passion. - passion
37,Seit wann lebst du in Hamburg? Ich lebe in Hamburg seit November letztes Jahr. ,Since when do you live in Hamburg? I have lived in Hamburg since November last year.
38, seit März dieses Jahr ,since March this year
40, seit April,Since April
41,"die Zeit – time, seit - since ","time - time, since - since"
42,Wie ist Hamburg? ,What is Hamburg like?
43,Mögen – to like Ich mag Berlin mehr. ,Like - to like I like Berlin more.
44,Was liest du gern? Ich liebe das Buch “das Geheimnis”. Es ist ein philosophisches Buch. ,"What do you like to read? I love the book ""The Secret."" It is a philosophical book."
45,Studierst du Medizin auf Deutsch oder auf Englisch? Ich studiere Medizin auf Spanisch. Ich möchte Deutsch sehr gut lernen und dann in Deutschloand Medizin auf Deutsch studieren. Das Studium ist in Präsenz.,Do you study medicine in German or English? I study medicine in Spanish. I want to learn German very well and then study medicine in German in German. Study is in attendance.
46,Möchten – to want ,to - to want
48,Viel Erfolg!,Good luck!
49,klein – little Magdeburg ist eine kleine und alte Stadt.,klein - little Magdeburg is a small and old city.
50,Ich lebe in Deutschland seit Juli 2021. ,I have been living in Germany since July 2021.
51,Hast du immer in Berlin gewohnt oder hast du auch in einer anderen Stadt gewohnt? Ich habe nur in Berlin gewohnt.,Did you always live in Berlin or did you also live in another city? I only lived in Berlin.
52,Wie ist Berlin? Magst du es? Berlin ist voll mit Leuten. ,How is Berlin? Do you like it? Berlin is full of people.
53,Welche Sprachen sprichst du? Ich spreche Arabisch.,What languages do you speak? I speak Arabic.
55,Wann arbeitest du? Ich arbeite bis 09:00 Uhr morgens bis 18:00 Uhr abends. Hour – die Stunde,When do you work? I work until 09: 00 in the morning until 18: 00 in the evening. Hour - the hour
56,Was machst du in Ulm? Ich arbeite als Au-Pair. Wie ist die Arbeit als Au-Pair? Magst du sie? Ich liebe es Au-Pair zu sein. Wie lange geht dein Au-Pair noch? Mein Au-Pair geht noch bis Dezember. ,What are you doing in Ulm? I work as an Au Pair. How is working as an Au Pair? Do you like it? I love being an Au Pair. How long is your Au Pair going to last? My Au Pair will last until December.
57,"Ich habe Ukulele selbst gelernt. Ukulele ist ein Musikinstrument. Hast du eine Ukulele in Deutschland? Ja, ich habe meine Ukulele in Deutschland.","I learned the ukulele myself. Ukulele is a musical instrument. Do you have a ukulele in Germany? Yes, I have my ukulele in Germany."
58,"Wie ist Ulm? Ulm ist schön. Es gibt eine schöne Natur, einen Fluss in der Stadt und den Ulmer Münster. Das ist eine Kirche. Das ist eine der größten Kirchen in Europa. big - groß","How is Ulm? Ulm is beautiful. There is a beautiful nature, a river in the city and the Ulm Minster. This is a church. This is one of the largest churches in Europe. big - big"
59,Wo ist Ulm? Ulm ist im Süden in der Nähe von München. ,Where is Ulm located? Ulm is located in the south near Munich.
60,Warum lernst du Deutsch? Ich möchte in Österreich arbeiten. Ich möchte in Deutschland als Arzt arbeiten.  Wann willst du nach Österreich gehen? Ich möchte nächstes Jahr im Mai oder Juni nach Österreich gehen. Als erstes möchte ich eine Prüfung machen. ,"Why are you learning German? I want to work in Austria. I want to work in Germany as a doctor. When do you want to go to Austria? I want to go to Austria in May or June next year. First, I want to take an exam."
61,"Welches Sprachniveau brauchst du?  Als Assistentin brauche ich B1, als Krankenschwester brauche ich B2. Ich brauche B2.","What language level do you need? As an assistant I need B1, as a nurse I need B2. I need B2."
62,Seit wann lernst du Deutsch? Ich lerne Deutsch seit 2 Monaten mit einer App. ,How long have you been learning German? I have been learning German for 2 months with an app.
63,Das ist mein erster Sprachkurs.,This is my first language course.
64,"Wie spät ist jetzt in Miami? Wie viel Uhr ist es in Miami? Es ist früh. Es ist 5 Uhr morgens. Wow, das ist früh. Stehst du gern früh auf? Nein, es ist nicht einfach. ","What time is it now in Miami? What time is it in Miami? It is early. It is 5 in the morning. Wow, that is early. Do you like getting up early? No, it is not easy."
65,"Ich drücke dir die Daumen, dass es mit der Zeit einfacher ist. ",I'm keeping my fingers crossed that it will get easier over time.
66,Warst du schon in Deutschland? Schon – already,Have you been to Germany? Already - already
67,"Ja, ich war für 7 Jahre in Italien. Ich reiste viel in Europa. Almost – fast Hauptstadt Ich war in fast jeder Hauptstadt in Europa. ","Yes, I was in Italy for 7 years. I traveled a lot in Europe. Almost - almost capital I was in almost every capital in Europe."
68,aufstehen – to get up,"to get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up, get up."
69,Brauchen – to need,need - to need
70,In welche Stadt in Österreich möchtest du gehen? Ich möchte in die Nähe von Wien gehen. ,What city in Austria do you want to go to? I want to go near Vienna.
71,Ich studiere Biomechanik an der Uni Magdeburg. ,I am studying biomechanics at the University of Magdeburg.
72,Maschinenbau ,Mechanical engineering
73,Wie lange geht dein Studium noch? Mein Studium geht noch 6 Monate.,How long will your studies last? My studies will last another 6 months.
74,Was machst du danach? Ich möchte eine Arbeitsstelle finden. Ich möchte in Deutschland arbeiten. ,What do you do after that? I want to find a job. I want to work in Germany.
75,nach – after,after - after
76,Möchtest du in Magdeburg bleiben oder in eine andere Stadt gehen? Ich möchte in eine andere Stadt gehen. In welche Stadt möchtest du gehen? Ich möchte nach Köln gehen.,Do you want to stay in Magdeburg or go to another city? I want to go to another city. Which city do you want to go to? I want to go to Cologne.
